,rank,name,league,total_goals_(2016-2023),spi
477,478,Nimes,French Ligue 2,612,26.75
478,479,Atromitos,Greek Super League,308,26.69
479,480,Arsenal Sarandi,Argentina Primera Division,269,26.68
480,481,Stromsgodset,Norwegian Tippeligaen,579,26.68
481,482,San Antonio FC,United Soccer League,481,26.51
482,483,Kyoto Purple Sanga,Japanese J League,116,26.4
483,484,Burgos,Spanish Segunda Division,150,26.38
484,485,AIK,Swedish Allsvenskan,446,26.35
485,486,Gamba Osaka,Japanese J League,448,26.35
486,487,Stabaek,Norwegian Tippeligaen,471,26.27
487,488,Livingston,Scottish Premiership,442,26.09
488,489,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,520,26.06
489,490,Sydney FC,Australian A-League,392,26.0
490,491,Ternana,Italy Serie B,347,25.79
491,492,Charlton Athletic,English League One,615,25.71
492,493,SV Ried,Austrian T-Mobile Bundesliga,262,25.4
493,494,Western Sydney FC,Australian A-League,400,25.37
494,495,Shonan Bellmare,Japanese J League,417,25.33
495,496,Laval,French Ligue 2,100,25.3
496,497,Benevento,Italy Serie B,624,25.04
497,498,Beijing Guoan,Chinese Super League,142,24.95
498,499,1. FC Nürnberg,German 2. Bundesliga,573,24.93
499,500,Louisville City FC,United Soccer League,519,24.85
500,501,Dundee Utd,Scottish Premiership,270,24.71
501,502,Wycombe Wanderers,English League One,568,24.47
502,503,Haugesund,Norwegian Tippeligaen,527,24.42
503,504,Annecy,French Ligue 2,90,24.36
504,505,Shanghai SIPG,Chinese Super League,153,24.26
505,506,Jahn Regensburg,German 2. Bundesliga,601,24.14
506,507,San Diego Loyal SC,United Soccer League,299,24.13
507,508,Tampa Bay Rowdies,United Soccer League,476,24.09
508,509,Pyunik Yerevan,UEFA Europa Conference League,17,23.79
509,510,IFK Goteborg,Swedish Allsvenskan,515,23.75
510,511,UD Ibiza,Spanish Segunda Division,211,23.58
511,512,Fleetwood Town,English League One,551,23.48
512,513,Hansa Rostock,German 2. Bundesliga,173,23.38
513,514,Sacramento Republic FC,United Soccer League,429,23.35
514,515,FC Khimki,Russian Premier Liga,247,23.26
515,516,KV Oostende,Belgian Jupiler League,497,23.17
516,517,Winterthur,Swiss Raiffeisen Super League,98,23.14
517,518,Brescia,Italy Serie B,630,23.07
518,519,Giannina,Greek Super League,216,23.02
519,520,AC Horsens,Danish SAS-Ligaen,359,22.85
520,521,Arizona United,United Soccer League,563,22.82
521,522,Memphis 901 FC,United Soccer League,379,22.78
522,523,Lincoln City,English League One,545,22.55
523,524,Eintracht Braunschweig,German 2. Bundesliga,270,22.44
524,525,Adelaide United,Australian A-League,437,22.25
525,526,Albirex Niigata,Japanese J League,47,22.21
526,527,Eupen,Belgian Jupiler League,482,22.18
527,528,Exeter City,English League One,573,22.1
528,529,Asteras Tripolis,Greek Super League,270,22.0
529,530,Sandefjord,Norwegian Tippeligaen,482,21.82
530,531,Melbourne Victory,Australian A-League,397,21.65
531,532,FC Sion,Swiss Raiffeisen Super League,642,21.6
532,533,IK Sirius,Swedish Allsvenskan,572,21.44
533,534,Colorado Springs Switchbacks FC,United Soccer League,484,21.37
534,535,Torpedo Moskow,Russian Premier Liga,82,20.97
535,536,Lugo,Spanish Segunda Division,551,20.79
536,537,Cosenza,Italy Serie B,435,20.68
537,538,Shamrock Rovers,UEFA Europa Conference League,11,20.63
538,539,Mjallby,Swedish Allsvenskan,240,20.52
539,540,Oxford United,English League One,615,20.42
540,541,Black Aces,South African ABSA Premier League,259,20.2
541,542,RFC Seraing,Belgian Jupiler League,194,20.07
542,543,Oakland Roots,United Soccer League,217,19.97
543,544,Brommapojkarna,Swedish Allsvenskan,121,19.85
544,545,Stellenbosch FC,South African ABSA Premier League,178,19.63
545,546,Volos NFC,Greek Super League,277,19.41
546,547,Burton Albion,English League One,730,19.29
547,548,Aalesund,Norwegian Tippeligaen,310,19.15
548,549,El Paso Locomotive FC,United Soccer League,369,19.06
549,550,Niort,French Ligue 2,528,19.04
550,551,Ionikos FC,Greek Super League,161,18.97
551,552,Levadiakos,Greek Super League,133,18.85
552,553,Shrewsbury Town,English League One,501,18.81
553,554,SuperSport United,South African ABSA Premier League,232,18.66
554,555,SV Sandhausen,German 2. Bundesliga,548,18.5
555,556,Shandong Luneng,Chinese Super League,152,18.5
556,557,Salford City,English League Two,419,18.49
557,558,Jiangsu Suning FC,Chinese Super League,149,18.37
558,559,Cheltenham Town,English League One,561,18.26
559,560,Gazisehir Gaziantep,Turkish Turkcell Super Lig,416,18.25
560,561,Halmstads BK,Swedish Allsvenskan,151,18.07
561,562,Mansfield Town,English League Two,580,17.84
562,563,Milton Keynes Dons,English League One,564,17.71
563,564,Panetolikos,Greek Super League,325,17.67
564,565,New Mexico United,United Soccer League,374,17.62
565,566,Yokohama FC,Japanese J League,255,17.62
566,567,Stockport County,English League Two,108,17.4
567,568,Hamarkamaratene,Norwegian Tippeligaen,112,17.21
568,569,IFK Värnamo,Swedish Allsvenskan,107,17.14
569,570,Pittsburgh Riverhounds,United Soccer League,439,16.68
570,571,Bristol Rovers,English League One,545,16.62
571,572,Western United,Australian A-League,321,16.55
572,573,Wellington Phoenix,Australian A-League,413,16.39
573,574,Orange County SC,United Soccer League,490,16.19
574,575,TS Galaxy,South African ABSA Premier League,99,16.04
575,576,Kaizer Chiefs,South African ABSA Premier League,238,16.03
576,577,Birmingham Legion FC,United Soccer League,372,15.73
577,578,Brisbane Roar,Australian A-League,361,15.7
578,579,Lamia,Greek Super League,268,15.27
579,580,Newcastle Jets,Australian A-League,373,15.09
580,581,Degerfors IF,Swedish Allsvenskan,214,15.04
581,582,Port Vale,English League One,541,15.03
582,583,AmaZulu,South African ABSA Premier League,223,14.3
583,584,Bradford City,English League Two,528,14.26
584,585,Swindon Town,English League Two,611,13.81
585,586,Miami FC,United Soccer League,272,13.81
586,587,Leyton Orient,English League Two,414,13.55
587,588,Carlisle United,English League Two,552,13.42
588,589,Morecambe,English League One,622,13.28
